SYMBOL,TOTAL_COUNT,AVG_DELIV_PER
LIQUIDCASE,31,96.16
SETFNIF50,22,94.33
SETFNIFBK,17,93.82
LIQUIDSBI,13,95.59
LIQUID,12,91.54
EBBETF0431,12,95.39
HDFCNIFBAN,12,95.19
GTLINFRA,11,100.0
BFSI,11,93.06
GOLDETFADD,11,98.28
EBBETF0430,10,93.68
KOTAKLOVOL,10,98.46
SMALLCAP,9,93.56
ABSLLIQUID,8,98.67
EBBETF0425,8,97.12
SBIETFPB,7,93.34
HDFCSILVER,7,89.96
ICICIB22,7,88.75
SECURCRED,6,91.2
MUFIN,6,95.2
KOTAKPSUBK,6,93.69
SAPPHIRE,6,89.97
PAYTM,6,99.39
ROUTE,5,90.37
IREDA,5,99.22
APTUS,5,91.12
SALASAR,5,97.54
TIMKEN,5,90.81
MASPTOP50,5,92.45
GREENPOWER,5,97.31
CARBORUNIV,5,90.0
AAVAS,5,88.73
HDFCSML250,5,92.5
SHAILY,5,92.14
PGHH,5,92.15
GRINDWELL,5,91.73
